#,الجامعة,الدولة,المدينة,الموقع الرسمي,city_fill_method
326,Assis Gurgacz Fag College,Brazil,,,
328,Bahia Regional College FARB,Brazil,,,
329,Bahian Institute of Higher Education IBES,Brazil,,,
330,Bahian Institute of History of Medicine & Related Sciences,Brazil,,,
332,Baptist Institute of Higher Education of Alagoas,Brazil,,,
333,Baptist Theological Seminary of Southern Brazil,Brazil,,,
336,Bennett Methodist Institute,Brazil,,,
339,Brazilian College,Brazil,,,
340,Calafiori College,Brazil,,,
341,Cambury College,Brazil,,,
342,Camilo Castelo Branco University UNICASTELO,Brazil,,,
344,Campos Eliseos College,Brazil,,,
346,Candido Rondon University Center UNIRONDON,Brazil,,,
350,Catholic school of Mato Grosso FACC,Brazil,,,
354,Catuai College,Brazil,,,
358,Central West College of Parana FACEOPAR,Brazil,,,
359,Central West State University Unicentro,Brazil,,,
361,Cesmac University Center,Brazil,,,
362,CESPI FACESPI Corporate Faculty,Brazil,,,
363,Chafic UNICEAD Colleges,Brazil,,,
364,Cidade Verde FCV College,Brazil,,,
365,College for Sustainable Development of the Northeast FADESNE,Brazil,,,
367,College of Quatro Marcos,Brazil,,,
372,Delta International College,Brazil,,,
373,DeVry Brazil,Brazil,,,
374,Distance University of Northern Parana UNOPAR,Brazil,,,
377,Don Bosco Catholic University,Brazil,,,
378,Don Bosco College,Brazil,,,
379,Don Bosco Colleges,Brazil,,,
380,EPD College,Brazil,,,
381,Est Colleges,Brazil,,,
383,ESUP Higher School of Business,Brazil,,,
385,Evangelical College of Parana NOW FEMPAR,Brazil,,,
386,FA7 Institute,Brazil,,,
388,Facese College,Brazil,,,
390,Faculty August 15th FAQ15,Brazil,,,
391,Faculty by the National Commercial Learning Service Pernambuco,Brazil,,,
399,Faculty of Higher Education of the Amazon Reunida FESAR,Brazil,,,
400,Faculty of Integrated Theology FATIN,Brazil,,,
401,Faculty of Knowledge & Faith FAETESF,Brazil,,,
403,Faculty of Law of Bahia,Brazil,,,
406,Faculty of Medical & Paramedical Sciences Fluminense SEFLU,Brazil,,,
415,Faculty of Technology Egidio Jose da Silva FATEGIDIO,Brazil,,,
419,Faculty of the Mineiro Educational Center FACEM,Brazil,,,
420,Faculty of Theology & Philosophy Siloam,Brazil,,,
422,Fae University Center,Brazil,,,
423,FAEF Group,Brazil,,,
424,FAF Frontier College,Brazil,,,
425,FAI Center for Higher Education in Technology & Education Management,Brazil,,,
426,FAMA Minas Gerais College,Brazil,,,
429,FATESUL Presbyterian College,Brazil,,,
430,Fatima Education,Brazil,,,
431,Fatima Higher Institute,Brazil,,,
435,Federal Institute Goiano,Brazil,,,
436,Federal Institute Of Amazonas,Brazil,,,
437,Federal Institute of Education Science & Technology of Roraima,Brazil,,,
438,Federal Institute Of Minas Gerais Ifmg,Brazil,,,
439,Federal Institute Of Rondonia Ifro,Brazil,,,
441,Federal Institute Of Technological Education Of Para Ifpa,Brazil,,,
442,Federal Institute South Rio Grandense,Brazil,,,
445,Federal Technological University Of Parana Utfpr,Brazil,,,
450,Federal University of Amazonas,Brazil,,,
470,Federal University Of Pampa Unipampa,Brazil,,,
482,Federal University Of Reconcavo Da Bahia Ufrb,Brazil,,,
511,Fides Reformed Faculty of Theology & Philosophy FATEFFIR,Brazil,,,
513,Fortium College,Brazil,,,
514,Foundation Escola Superior de Advocacia of the State of Ceara FESAC,Brazil,,,
515,Foundation of Social Studies of Parana FESP,Brazil,,,
516,FSA Saint Augustine College,Brazil,,,
518,Fundacao Getulio Vargas Fgv,Brazil,,,
521,Guilherme Guimbala College,Brazil,,,
522,Herminio Ometto Fho Uniararas Foundation,Brazil,,,
523,Higher Institute of Economics & Administration ISEAD,Brazil,,,
524,Higher Institute of Education of Parana INSEP,Brazil,,,
525,Higher Institute of Education Our Lady of Sion ISE,Brazil,,,
527,IBMEC Brazilian Capital Market Institute,Brazil,,,
528,IEPG Institute of Specialization & Postgraduate Studies,Brazil,,,
530,Iguacu Unig University,Brazil,,,
531,Inatel National Telecommunications Institute,Brazil,,,
532,INESP College National Institute of Education & Research,Brazil,,,
533,Inga Uninga College,Brazil,,,
535,"Institute of Higher Education of Paraiba Faculty of Philosophy, Sciences & Letters FAFIL",Brazil,,,
536,Instituto de Ensino Superior Presidente Tancredo Neves IPTAN,Brazil,,,
537,Instituto Superior de Educacao Elvira Dayrell ISEED,Brazil,,,
538,Integrated College of Pernambuco,Brazil,,,
539,Integrated Colleges Of Brazil Unibrasil,Brazil,,,
544,Integrated Colleges of Vale do Ribeira UNISIPE,Brazil,,,
548,International Faculty of Health,Brazil,,,
549,International Faculty of Theology of the Assemblies of God,Brazil,,,
550,International Institute for State Law Studies IIEDE,Brazil,,,
551,Ita Aeronautics Technological Institute,Brazil,,,
553,John Paul II College,Brazil,,,
554,Jose Augusto Vieira College FJAV,Brazil,,,
557,Juruena Valley Colleges Ajes,Brazil,,,
558,Juscelino Kubitschek College,Brazil,,,
559,La Salle Colleges Unilasalle,Brazil,,,
560,Leao Sampaio College,Brazil,,,
561,LS College & Technical School,Brazil,,,
562,Luso Brazilian College,Brazil,,,
563,Lusofona College,Brazil,,,
565,Lutheran University Of Brazil Ulbra,Brazil,,,
566,Machado de Assis FEMA Educational Foundation,Brazil,,,
567,Mackenzie Presbiterian University,Brazil,,,
569,Mauricio de Nassau College,Brazil,,,
573,Minas Gerais College,Brazil,,,
577,National Commercial Learning Service of Pernambuco,Brazil,,,
581,North Parana College UNINORTE,Brazil,,,
582,Northeast Fanor Colleges,Brazil,,,
583,Northern Pioneer College FANORPI,Brazil,,,
584,Open Life University,Brazil,,,
585,Origenes Lessa College FACOL,Brazil,,,
587,Our City College FNC,Brazil,,,
588,Padre Albino Integrated Colleges,Brazil,,,
589,Padre Dourado College FACPED,Brazil,,,
596,Pontifical Catholic University Of Minas Gerais Puc Minas,Brazil,,,
598,Pontifical Catholic University Of Parana Pucpr,Brazil,,,
603,Porto Alegrenses Colleges FAPA,Brazil,,,
605,President Antonio Carlos University Unipac,Brazil,,,
606,Redeemer University Center,Brazil,,,
612,Ritter Dos Reis University Center Uniritter,Brazil,,,
614,Saint Joseph College,Brazil,,,
618,San Francisco College of Education,Brazil,,,
620,Santa Catarina College,Brazil,,,
622,Santo Antonio Higher Education Institute,Brazil,,,
623,Sao Camilo Colleges,Brazil,,,
626,Sao Judas Tadeu Educational Complex,Brazil,,,
627,Sao Judas Tadeu Educational Institution,Brazil,,,
628,Sao Luiz College,Brazil,,,
635,SATC College,Brazil,,,
636,Savonitti Institute of Higher Education,Brazil,,,
637,Senac Faculty of Technology,Brazil,,,
641,Serigy College,Brazil,,,
642,Serra Unit Educational College,Brazil,,,
644,Southern Brazil College,Brazil,,,
646,Souza Marques College,Brazil,,,
654,State University Of Maranhao Uema,Brazil,,,
669,State University Of Western Parana Unioeste,Brazil,,,
670,Suldamerica College,Brazil,,,
672,Technological Institute of Aeronautics,Brazil,,,
673,Technology College,Brazil,,,
676,Tocantinense Postgraduate Institute ITOP College,Brazil,,,
677,Ubaense College Ozanam Coelho FAGOC,Brazil,,,
679,UNESC Faculties,Brazil,,,
680,UNI7 Business School,Brazil,,,
681,UniCATHEDRAL,Brazil,,,
682,UNICE Higher Education,Brazil,,,
683,UNICNEC University Center,Brazil,,,
684,UNIEMP Institute,Brazil,,,
685,UNIESP Colleges ESEFAP,Brazil,,,
686,UNIESP Del Rey College,Brazil,,,
688,UNIESP Faculdade do Noroeste Paranaense FANP,Brazil,,,
689,UNIESP Faculdade Santa Emilia de Rodat FASER,Brazil,,,
692,UNIESP Faculty of Educational Sciences & Integrated Systems – FACESI,Brazil,,,
701,UNIEURO University Center,Brazil,,,
702,UNIFACEMP,Brazil,,,
703,UNIFATECPR,Brazil,,,
704,Unifil Philadelphia University Center,Brazil,,,
705,UNIFOX Group,Brazil,,,
706,UNIFRA Franciscan University Center,Brazil,,,
707,Unigran Capital College,Brazil,,,
708,Unijuazeiro,Brazil,,,
709,UNIMAM Maria Milza University Center,Brazil,,,
710,Union of Colleges of Alagoas UNIFAL,Brazil,,,
711,Union of Higher Education of Parana UESPAR,Brazil,,,
713,Unirg University Center,Brazil,,,
714,UniSEB,Brazil,,,
715,UniSEB Interactive,Brazil,,,
716,UNISO Business School,Brazil,,,
717,United Metropolitan Colleges Fmu,Brazil,,,
718,Univates University Center,Brazil,,,
724,University Center Of The Federal District Udf,Brazil,,,
725,University Center Of The Ignatian Educational Foundation,Brazil,,,
726,University Center Of The Octavio Bastos Teaching Foundation Unifeob,Brazil,,,
727,University Center Of The State Of Para Cesupa,Brazil,,,
729,University Foundation to Support Teaching FURNE,Brazil,,,
744,University Of Southern Santa Catarina Unisul,Brazil,,,
747,University Of The State Of Bahia Uneb,Brazil,,,
750,University Of The State Of Santa Catarina Udesc,Brazil,,,
752,University Of Tocantins Foundation Unitins,Brazil,,,
756,University Of Vale Do Rio Dos Sinos Unisinos,Brazil,,,
757,University Of Vale Do Sapucai,Brazil,,,
759,Urubupunga Integrated Colleges,Brazil,,,
761,Vale do Cricare University Center UNIVC,Brazil,,,
764,Vale do Salgado UNIVS University Center,Brazil,,,
769,University Of The Bahamas,Bahamas,,,
770,Jigme Namgyel Polytechnic,Bhutan,,,
771,Royal University of Bhutan Royal Institute of Health Sciences,Bhutan,,,
772,BA ISAGO University College,Botswana,,,
775,Belarusian State Academy of Aviation,Belarus,,,
779,Belarusian State Pedagogical University M Tank,Belarus,,https://bspu.by/,
781,Belarusian State University Of Physical Culture,Belarus,,,
785,Federation Of Trade Unions Of Belarus International University Mitso,Belarus,,,
787,Gomel State University,Belarus,,,
791,Mozyr State Pedagogical University I P Shamyakin,Belarus,,,
796,Briercrest College,Canada,,,
798,Canadian University College,Canada,,,
803,Ellis College,Canada,,,
806,La Cabriole College,Canada,,,
807,Lambton College of Applied Arts & Technology,Canada,,,
810,MLC College,Canada,,,
811,National School of Aerotechnics,Canada,,,
812,NF College,Canada,,,
813,Northwest Community College,Canada,,,
814,Northwestern Polytechnic,Canada,,,
817,PCTIA,Canada,,,
818,Prairie College,Canada,,,
819,Quebec School of Fisheries & Aquaculture la Gaspesie et des Iles College,Canada,,,
820,Regional of Lanaudiere College,Canada,,,
824,SELC Career College,Canada,,,
825,Seminary of Christ the King,Canada,,,
826,Southeast College,Canada,,,
836,Western University,Canada,,,
879,Ecole Nationale d'Administration de Cote d'Ivoire,Côte d'Ivoire,,,
881,Alpes Technical Training Center,Chile,,,
882,Andrés Bello University,Chile,,,
885,Border University,Chile,,,
888,Catholic University of the North,Chile,,,
889,Central University Of Chile,Chile,,,
892,Duocuc Catholic University,Chile,,,
893,European Management School,Chile,,,
894,Federico Santa María Technical University,Chile,,https://usm.cl/,
896,Ibero American University of Sciences & Technologies,Chile,,,
897,Icel Technical Training Center,Chile,,,
898,Ingraf Graphic Industry Technical Training Center,Chile,,,
899,Los Leones University,Chile,,,
900,Metropolitan Technological University,Chile,,,
904,Postgraduate Andres Bello University,Chile,,,
918,University Of The Lakes,Chile,,,
922,Mountain University,Cameroon,,,
923,Anhui Business Vocational & Technical College,China,,,
925,Anhui Electrical Engineering Vocational & Technical College,China,,,
926,Anhui Electronic Information Vocational & Technical College,China,,,
927,Anhui Institute of Information Engineering,China,,,
928,Anhui Institute of Information Technology,China,,,
929,Anhui Lvhai Vocational College of Business,China,,,
930,Anhui Medical College,China,,,
932,Anhui Open University,China,,,
933,Anhui TV University Online,China,,,
935,Anhui Yangzi Vocational & Technical College,China,,,
942,Basic Education College Lingnan Normal University,China,,,
959,Business administration school in Henan Province,China,,,
960,Canadian International Institute of Guangxi University,China,,,
962,Capital College of Science & Technology,China,,,
963,Capital Medical University,China,,,
964,Central Academy of Cultural Administration,China,,,
965,Central Conservatory of Music Piano Academy at Gulangyu,China,,,
966,Central University of Finance & Economics International Education Center,China,,,
994,Child Care Teachers College of Fujian,China,,,
995,Child Care Teachers College of Sichuan,China,,,
997,China Criminal Police College,China,,,
1004,China University of Petroleum Victory College,China,,,
1006,Chongqing Hailian Vocational Technical College,China,,,
1008,Chongqing Industry & Trade Polytechnic,China,,,
1012,Chongqing Radio & Television University,China,,,
1013,Chongqing Radio & Television University South Bank Campus,China,,,
1014,Chongqing Safety Technology Vocational College,China,,,
1020,Chun'an Vocational & Technical College,China,,,
1023,City College of Southwest University of Science & Technology,China,,,
1027,College of International Education Capital Normal University,China,,,
1030,Culture & Media College Liaoning University of Technology,China,,,
1042,East University of Heilongjiang,China,,,
1043,Eastern Hubei Vocational & Technical College,China,,,
1045,Fujian Commercial College,China,,,
1046,Fujian Hwa Nan College,China,,,
1048,Fujian Vocational College of Agriculture,China,,,
1049,Fujian Vocational College of Bioengineering,China,,,
1055,Gansu Administration Institute,China,,,
1056,Gansu Electromechanical Vocational & Technical College,China,,,
1057,Gansu Health Vocational College,China,,,
1058,Gansu Industry Polytechnic College,China,,,
1059,Gansu Iron & Steel Vocational Technical College,China,,,
1060,Gansu Nonferrous Metallurgy Vocational & Technical College,China,,,
1061,Gansu Police Vocational College,China,,,
1062,Gasu Polytechnic College of Animal Husbandry & Engineering,China,,,
1063,Gian Vocational & Technical College,China,,,
1064,"Graduate School, GRINM",China,,,
1065,Graduate University of the Chinese Academy of Sciences,China,,,
1066,Great Wall of China University of Geosciences,China,,,
1068,Guangdong Business & Technology University,China,,,
1069,Guangdong Communication Polytechnic,China,,,
1070,Guangdong Engineering Polytechnic,China,,,
1071,Guangdong Medical College,China,,,
1072,Guangdong Medical University,China,,,
1073,Guangdong Peizheng University,China,,,
1074,Guangdong Pharmaceutical University,China,,,
1075,Guangdong Polytechnic College,China,,,
1076,Guangdong Polytechnic of Environmental Protection Engineering,China,,,
1077,Guangdong Polytechnic of Industry & Commerce,China,,,
1078,Guangdong Songshan Polytechnic College,China,,,
1079,Guangdong Songshan Vocational & Technical College,China,,,
1080,Guangdong University of Science & Technology,China,,,
1082,Guangdong Vocational & Technical College,China,,,
1083,Guangdong Vocational College of Ecological Engineering,China,,,
1084,Guangdong Youth College,China,,,
1085,Guangxi Cadres University of Economics & Management,China,,,
1086,Guangxi College of Education,China,,,
1087,Guangxi Economic Vocational College,China,,,
1088,Guangxi Engineering Vocational College,China,,,
1089,Guangxi Industrial Vocational & Technical College,China,,,
1092,Guangxi Open University,China,,,
1093,Guangxi Polytechnic Vocational & Technical College,China,,,
1094,Guangxi Safety Engineering Vocational & Technical College,China,,,
1095,Guangxi Science & Technology Normal University,China,,,
1097,Guangxi Vocational College of Science & Technology,China,,,
1112,Guizhou Aviation Vocational & Technical College,China,,,
1113,Guizhou City College,China,,,
1114,Guizhou City Vocational College,China,,,
1115,Guizhou Electronic Technology Vocational College,China,,,
1116,Guizhou Engineering Vocational College,China,,,
1117,Guizhou Equipment Manufacturing Vocational College,China,,,
1118,Guizhou Food Engineering Vocational College,China,,,
1119,Guizhou Health Vocational College,China,,,
1120,Guizhou Industry & Trade Vocational College,China,,,
1122,Guizhou Nursing Vocational & Technical College,China,,,
1123,Guizhou Radio & TV University,China,,,
1125,Guizhou University of Commerce,China,,,
1126,Guizhou University of Finance & Economics Business School,China,,,
1127,Guizhou Vocational & Technical College,China,,,
1128,Guizhou Vocational College of Applied Technology,China,,,
1129,Guizhou Vocational Technology College of Electronics & Information,China,,,
1132,Hainan Open University,China,,,
1133,Hainan Technology & Business College,China,,,
1148,Hebei Art Vocational College,China,,,
1149,Hebei Energy College of Vocation & Technology,China,,,
1150,Hebei Institute of Finance,China,,,
1151,Hebei Institute of Industrial Technology,China,,,
1154,Hebei Oriental University,China,,,
1155,Hebei Radio & Television University,China,,,
1156,Hebei Technical College of Petroleum Profession,China,,,
1163,Heilongjiang College of Business & Technology,China,,,
1164,Heilongjiang Institute of Education,China,,,
1165,Heilongjiang Provincial Business Staff University,China,,,
1166,Heilongjiang Provincial Institute of Education,China,,,
1167,Heilongjiang State Farms Science Technology Vocational College,China,,,
1169,Henan Business College,China,,,
1171,Henan University of Science and Technology,China,,,
1172,Henan Vocational College of Nursing,China,,,
1173,Henan Vocational University of Science & Technology,China,,,
1177,Huali College Guangdong University of Technology,China,,,
1178,Huasang College Guangdong University of Business Studies,China,,,
1179,Huaxin College Hebei GEO University,China,,,
1182,Hubei Ecology Vocational College,China,,,
1183,Hubei Engineering Institute,China,,,
1184,Hubei Industrial Polytechnic,China,,,
1185,Hubei Polytechnic Institute,China,,,
1186,Hubei Railway Transportation Vocational College,China,,,
1188,Hubei University of Medicine,China,,,
1189,Hubei University of Science & Technology,China,,,
1191,Hubei University Vocational & Technical College,China,,,
1195,Hulunbeier College,China,,,
1196,Hunan Applied Technology University,China,,,
1197,Hunan Biological & Electromechanical Polytechnic,China,,,
1198,Hunan Business Vocational College,China,,,
1199,Hunan Electronic Technology Vocational College,China,,,
1200,Hunan Engineering Polytechnic,China,,,
1201,Hunan Institue of Information Technology,China,,,
1203,Hunan Taxation College,China,,,
1204,Hunan Technical College of Railway High speed,China,,,
1206,Hunan University of Commerce,China,,,
1212,Inner Mongolia Radio & TV University,China,,,
1214,Institute for Tourism Studies Macau,China,,,
1216,Jiangsu Aviation Vocational & Technical College,China,,,
1217,Jiangsu College of Engineering & Technology,China,,,
1219,Jiangsu Open University,China,,,
1220,Jiangsu Polytechnic University,China,,,
1221,Jiangsu Second Teachers College,China,,,
1224,Jiangsu Vocational College of Agriculture & Forestry,China,,,
1225,Jiangsu Vocational College of Business,China,,,
1226,Jiangxi Agricultural Engineering Vocational College,China,,,
1227,Jiangxi College of Application Science & Technology,China,,,
1228,Jiangxi College of Engineering,China,,,
1230,Jiangxi Hongzhou Vocational College,China,,,
1231,Jiangxi Institute of Economic Management,China,,,
1232,Jiangxi New Energy Technology Vocational College,China,,,
1233,Jiangxi Teachers College,China,,,
1234,Jiangxi Technology Business Polytechnic,China,,,
1235,Jiangxi University of Engineering,China,,,
1236,Jiangxi V&T College of Communications,China,,,
1237,Jiangxi Vocational College of Commerce Tourism,China,,,
1238,Jiangxi Vocational College of Finance & Economics,China,,,
1239,Jiangxi Vocational College of Science & Technology,China,,,
1264,Liaoning Administrators College of Police & Justice,China,,,
1265,Liaoning Construction Vocational College,China,,,
1266,Liaoning Economic Vocational & Technical College,China,,,
1267,Liaoning Equipment Manufacturing Vocational & Technical College,China,,,
1268,Liaoning Institute of Technology,China,,,
1270,Liaoning Polytechnic College,China,,,
1271,Liaoning Radio & Television University,China,,,
1272,Liaoning Taxation College,China,,,
1274,Liaoning Water Conservancy Vocational College,China,,,
1279,Macao Institute for Tourism Studies IFTM,China,,,
1282,Masanori Vocational & Technical College,China,,,
1285,Mingde College Northwestern Polytechnical University,China,,,
1286,Minnan National Early Childhood Teachers College,China,,,
1287,Minxi Vocational College of Science & Technology,China,,,
1316,National Police University of China,China,,,
1317,Naval Medical University,China,,,
1320,Ningxia National Career Technical College,China,,,
1321,Ningxia Sports Vocational College,China,,,
1322,Ningxia Television University,China,,,
1324,Ningxia Vocational Technical College of Industry & Commerce,China,,,
1327,Northeast Dianli University,China,,,
1329,Northern University for Nationalities,China,,,
1331,Northwestern University Modern College,China,,,
1334,Peking Union Medical College,China,,,
1337,PLA University of Science & Technology,China,,,
1338,Private Anhui Tourism Vocational College,China,,,
1340,Qindao Technological University Qindao College,China,,,
1346,Qinghai Higher Vocational & Technical College,China,,,
1347,Qinghai Qaidam Vocational & Technical College,China,,,
1358,School of Applied Science Jiangxi University of Science & Technology,China,,,
1359,School of International Law Northwest University of Politics & Law,China,,,
1361,School of Modern Arts & Sciences Shanxi Normal University,China,,,
1363,School of Science & Technology North China Electric Power University,China,,,
1366,Shaanxi Artistic Vocational College,China,,,
1367,Shaanxi Business College,China,,,
1368,Shaanxi Elyctronic Technical College,China,,,
1369,Shaanxi Institute of Industrial Technology,China,,,
1370,Shaanxi Medical School,China,,,
1371,Shaanxi Post & Telecommunication College,China,,,
1373,Shaanxi Technical College of Finance & Economics,China,,,
1374,Shandong Chemical Vocational College,China,,,
1375,Shandong Institute of Business,China,,,
1376,Shandong Institute of Education,China,,,
1377,Shandong Kawen College of Science & Technology,China,,,
1378,Shandong Light Industry Vocational College,China,,,
1379,Shandong Liming Technology Vocational College,China,,,
1380,Shandong Open University,China,,,
1381,Shandong Polytechnic College,China,,,
1383,Shandong TV University,China,,,
1385,Shandong University of Finance & Economics Oriental College,China,,,
1387,Shandong University of weapons industry workers,China,,,
1388,Shandong Urban Construction College,China,,,
1389,Shandong Vocational & Technical University of Foreign Languages,China,,,
1390,Shandong Vocational College of Economics & Trade,China,,,
1391,Shandong Vocational College of Foreign Affairs,China,,,
1392,Shandong Vocational College of Foreign Affairs Translation,China,,,
1393,Shandong Vocational College of Industry,China,,,
1394,Shandong Xiandai University,China,,,
1395,Shandong Yingcai University,China,,,
1403,Shanghai Sibo Vocational & Technical College,China,,,
1406,Shanghai Vocational & Technical College of Agriculture & Forestry,China,,,
1408,Shanghai Xin Qiao Vocational & Technical College,China,,,
1414,Shanxi College of Traditional Chinese Medicine,China,,,
1416,Shanxi Institute of Engineering and Technology,China,,,
1417,Shanxi Management Vocational College,China,,,
1419,Shanxi Medical University Jinci College,China,,,
1420,Shanxi Old District Vocational & Technical College,China,,,
1421,Shanxi Radio & TV University,China,,,
1423,Shanxi University Business College,China,,,
1424,Shanxi Youth Vocational College,China,,,
1437,Sichuan College of Applied Sciences,China,,,
1438,Sichuan Electric Vocational & Technical College,China,,,
1439,Sichuan Institute of Industrial Technology,China,,,
1440,Sichuan Radio & TV University,China,,,
1441,Sichuan Radio & TV University Distance Learning Platform,China,,,
1442,Sichuan Railway Vocational College,China,,,
1445,Sichuan Vocational & Technical College of Posts & Telecommunications,China,,,
1446,Sichuan Vocational College of Applied Technology,China,,,
1447,Sichuan Vocational College of Culture & Communication,China,,,
1450,South China Business Trade College,China,,,
1451,South-Central Minzu University,China,,,
1456,Southwestern National Vocational & Technical College,China,,,
1475,Texas Vocational College of Science & Technology,China,,,
1478,Three Gorges Tourism Vocational & Technical College,China,,,
1479,Three Gorges Vocational College of Electric Power,China,,,
1482,Tianjin Electromechanical Vocational & Technical College,China,,,
1483,Tianjin Land Resources & House Vocational College,China,,,
1492,Tongji Zhejiang College,China,,,
1494,University of International Business & Economics School of International Education,China,,,
1500,Weibei Health Vocational College,China,,,
1506,Wenhuaxueyuan Faculty of Information Science & Technology,China,,,
1532,Xiangxi National Vocational & Technical College,China,,,
1537,Xinjiang Agricultural University College of Science & Technology,China,,,
1538,Xinjiang Career Technical College,China,,,
1539,Xinjiang Institute of Light Industry Technology,China,,,
1540,Xinjiang Institute of Technology,China,,,
1541,Xinjiang Medical University,China,,,
1542,Xinjiang Medical University Houbo College,China,,,
1544,Xinjiang Railway Vocational & Technical College,China,,,
1545,Xinjiang Teacher's College,China,,,
1546,Xinjiang Teachers College,China,,,
1548,Xinlian College Henan Normal University,China,,,
1554,Yanbian Radio & Television University,China,,,
1556,Yanbian Vocational & Technical College,China,,,
1560,Yangling Vocational & Technical College,China,,,
1563,Yellow River Institute of Technology,China,,,
1566,Yubei Chongqing Radio & Television University Campus,China,,,
1568,Yunnan Business Vocational College,China,,,
1570,Yunnan Finance & Economics Vocational College,China,,,
1571,Yunnan Jiatong College,China,,,
